Data			Bruto		Taxa		Antecipação	Empréstimo	Líquido
01/06/20		425,00		9,01		0,00		66,31		349,68
02/06/20		673,00		14,27		0,00		105,00		553,73
03/06/20		152,00		3,22		0,00		23,72		125,06
04/06/20		246,00		5,22		0,00		38,38		202,40
05/06/20		3654,45		113,85		34,84		558,81		2946,95
08/06/20		135,00		3,23		0,00		21,00		110,77
09/06/20		15,00		0,32		0,00		2,34		12,34
10/06/20		589,00		12,49		0,00		91,89		484,62
12/06/20		131,00		2,78		0,00		20,44		107,78
15/06/20		265,00		6,33		0,00		41,23		217,44
16/06/20		257,00		5,45		0,00		40,10		211,45
17/06/20		1037,00		21,98		0,00		161,80		853,22
18/06/20		385,00		8,16		0,00		60,07		316,77
19/06/20		1725,70		36,70		0,00		269,22		1419,78
22/06/20		5122,52		162,53		70,51		779,38		4110,11
23/06/20		557,00		12,13		0,00		86,85		458,02
24/06/20		228,00		4,83		0,00		35,57		187,60
25/06/20		568,00		12,42		0,00		88,56		467,02
26/06/20		315,00		6,68		0,00		49,14		259,18
29/06/20		329,00		6,97		0,00		51,33		270,70
01/07/20		955,00		13,38		0,00		745,24		196,38
02/07/20		114,00		2,42		0,00		17,79		93,79
03/07/20		139,00		2,95		0,00		21,69		114,36
06/07/20		3907,00		117,97		44,05		596,95		3148,04
08/07/20		194,00		4,11		0,00		30,27		159,62
10/07/20		2406,80		51,24		0,00		375,47		1980,09
13/07/20		215,00		4,56		0,00		33,54		176,90
14/07/20		735,00		15,95		0,00		114,61		604,44
16/07/20		200,00		4,24		0,00		31,20		164,56
17/07/20		859,00		18,21		0,00		134,02		706,77
20/07/20		4473,50		139,51		54,00		682,22		3597,77
21/07/20		356,00		7,55		0,00		55,54		292,91
24/07/20		2317,43		50,20		0,00		361,40		1905,83
28/07/20		667,00		14,14		0,00		104,07		548,79
29/07/20		941,00		20,25		0,00		146,76		773,99
30/07/20		485,00		10,28		0,00		75,67		399,05
31/07/20		0,00		0,00		0,00		355,96		-355,96
03/08/20		558,00		11,83		0,00		87,06		459,11

05/08/20		5013,17		159,92		61,40		763,82		4028,03
